source,prediction,reference,bleu
"zur weißglut bringe sie die frage nach dem kinderwunsch: wir frauen müssen nicht verheiratet sein oder kinder haben, um vollkommen zu sein, so der hollywood-star.","as regards the white paper, you are asking","the question of whether she wants children makes her livid: we women do not need to be married or have children to feel fulfilled, the hollywood star says.",0.0023
in ihrem neuen film mothers day - liebe ist kein kinderspiel ist aniston als eine alleinerziehende mutter zweier söhne zu sehen.,in your new film mothers day - no population,"in her new film, mothers day - love isnt childs play, aniston stars as a single mother with two sons.",0.0397
der film läuft bei uns ab dem 25. august.,the film is in the light of 25 august,the film is released in germany on 25 august.,0.1349
golfer langer erhält die sportpyramide,"in the long run, sport is a high",golfer langer is awarded the sport pyramid,0.0366
seine erfahrungen auf dem pferd sind überschaubar.,his experience on the horse is,his experience on horseback is negligible.,0.2171
am ende eines golfturniers in südafrika suchte bernhard langer mit einigen kollegen ein bisschen abwechslung mit einem ausritt am strand.,on the end of a golftk,"at the end of a golfing tournament in south africa, bernhard langer and a colleague went for a ride along the beach for a bit of fun.",0.0153
für den 58-jährigen war es eine premiere.,it was a first-year-old for,it was a first for the 58-year-old.,0.1915
chio: goldene sportpyramide für bernhard langer,"in the first: goldene sport,",chio: golden sport pyramid for bernhard langer,0
"nach einigen minuten erinnerten sich die pferde an ihren feierabend, sie jagten im schnellen galopp nach hause zu den futtertrögen.","after a few minutes, the embassies were reminded","after a few minutes, the horse decided it wanted to go home, and raced back to its feeding trough at full tilt.",0.0898
"ein kilometer bei diesem tempo, ich habe angst gehabt.","a kilometres of this pace, i have bee",after a kilometre at this speed i was scared.,0.0323
"es war kein gutes erlebnis, sagt langer.","it was not a good thing, a long","it wasnt a good experience, said langer.",0.065
und damit endete die reitkarriere dann auch schon wieder.,and then then then then,"and with that, his riding career came to an end again.",0.0162
am samstag war deutschlands bester golfer aller zeiten - 101 turniersiege - wieder in der nähe von pferden.,"on saturday, germany was the best golfer","on saturday, germanys best golfer of all time - with 101 tournament wins under his belt - was once again near horses.",0.0123
"er ließ sich mit seiner familie über die anlage des alrv führen, auf ein pferd schwang er sich nicht mal zu fotozwecken.",he had a family on the annex of al,"he and his family toured the alrv grounds, but he did not jump onto a horse for a photo.",0.0112
langer war das erste mal in aachen und damit auch beim chio.,"in close, the first time was in a","it was langers first time in aachen, and at chio.",0.0544
der grund war durchaus überzeugend.,the reason was very convincing.,he had been thoroughly convinced.,0
die deutsche sporthilfe überreichte dem mann aus anhausen im rahmen einer kleinen gala die goldene sportpyramide.,the german sport aid over the man of a,the german sport aid foundation awarded the man from anhausen with the golden sport pyramid at a small gala event.,0.1087
an auszeichnungen mangelt es dem sympathischen sportler nicht.,it is not a lack of the gener,the friendly sportsman is not lacking for awards.,0.065
"bundesverdienstkreuz, silbernes lorbeerblatt, champions-tour-player of the year...","criticism, the most-called lau","the federal cross of merit, the silver laurel leaf, champions tour player of the year...",0.0051
selbst die britische queen hat ihn schon geadelt.,even the british queen has,even the british queen has bestowed an honour upon him.,0.3679
langer ist der 18. preisträger der sportpyramide.,"in many years, the 18th anniversary of",langer is the 18th person to be awarded the sport pyramid.,0.0394
in aachen traf er am samstag den ersten preisträger hans günter winkler.,"in a sense, he met the","on saturday, he met the first person to receive it, hans günter winkler, in aachen.",0.0484
"diese auszeichnung bedeutet mir sehr viel, sagt langer, denn sie wird nicht nur für sportliche erfolge, sondern auch für gesellschaftliches engagement vergeben.","this is a great deal of credit, but","this award means a lot to me, said langer, because its not just given for sporting success, but also for social commitment.",0.0064
seit jahrzehnten fördert langer den nachwuchs.,"for decades, long encourages the",langer has been encouraging up-and-coming talent for years.,0.0295
und so gab er auch das preisgeld von 25.000 euro gleich weiter.,and so he has also gone on to the,"and in this vein, he passed the prize money of 25,000 euros on straight away.",0.0174
mit 15 weiteren herausragenden sportlern wurde der zweifache us-masterssieger am samstag in die hall of fame des deutschen sports aufgenommen.,the two us-largement in,"the two-time us masters champion was inaugurated into the hall of fame for german sport on saturday, along with 15 other outstanding sportspeople.",0.0007
"zu den ausgezeichneten gehören die leichtathleten hartwig gauder und harald schmitt, der turner eberhard gienger, die fechter cornelia hanisch, alexander pusch und arnd schmitt, der ruderer peter-michael kolbe, bob-fahrer meinhard nehmer, der judoka frank wieneke, der springreiter alwin schockemöhle und posthum der handballer erhard wunderlich.","the fence of hemp, alexander",", alexander putsch and arnd schmitt, rower peter-michael kolbe, bob-sleigh rider meinhard nehmer, judo player frank wieneke, show-jumper alwin schockemöhle, and, posthumously, handball player erhard wunderlich.",0.0008
viele dieser sportlegenden waren am samstag nach aachen gekommen.,many of these sports were held after saturday,many of these sport legends came to aachen on saturday.,0.1071
"nach dem offiziellen teil wanderte die illustre gesellschaft ins springstadion, wo der lavazza-preis lief.","after official part of migrant society, the pres","after the official part, the illustrious gathering wandered to the show-jumping stadium, where the lavazza prize was underway.",0.0105
bernhard langer hielt abstand zu den großen tieren.,"however, mr palacio felt a long time",bernhard langer kept his distance from the large animals.,0
clintons und trumps wirtschaftspolitik im vergleich: its all about the money,clintons and economic policy compared with all,comparing clintons and trumps economic policies: its all about the money,0.0469
in infrastruktur investieren und das handelsabkommen ttp verhindern - das wollen sowohl clinton als auch trump.,in infrastructure and prevent the trade agre,both clinton and trump want to invest in infrastructure and prevent the ttp trade agreement.,0.2052
uneins sind sich die beiden us-präsidentschaftsbewerber jedoch bei der steuer- und energiepolitik sowie in einer grundsatzfrage.,"however, the two us presiden","but the two candidates for the us presidency disagree on taxes and energy policies, as well as on one fundamental issue.",0.0051
"den unterschieden in der wirtschaftspolitik zwischen donald trump und hillary clinton liegt ein grundsätzlicher, eher philosophischer unterschied zugrunde.",the differences in economic policy bet,there is a fundamental philosophical reason for the differences between donald trumps and hillary clintons economic policies.,0.0153
"der, über die rolle des staates.",the role of the state is the case.,this is the role of the state.,0.3928
"trump will die im zweifel eher klein halten und warnt davor, wie der staat der wirtschaft schaden kann - mit steuern und regulierungen.",the question of the state of economic growth is,"if in doubt, trump wants the states role to be minor, and warns of how the state can damage the economy with taxes and regulations.",0.0102
"clinton wolle die wirtschaft zu tode besteuern und zu tode regulieren, sagt er.",clinton wants to death and to death,"clinton wants to lead the economy to its death and regulate it to its death, he says.",0.0516
"er selber dagegen wäre ganz anders, behauptet trump.",he would be quite different to the,"he would do things totally differently, trump says.",0.0606
"er werde regulierungen massiv zurückfahren, und er macht sich für eine weitreichende steuerreform mit niedrigeren steuersätzen stark - für privatleute und für unternehmen.",it will be a massive reduction in regulation and,"he would repeal regulations, and lead a wide-reaching tax reform with low rates for private individuals and companies.",0.0105
"clinton dagegen sagt: der staat hat bestimmte aufgaben zu erfüllen, er hat benachteiligten chancen zu eröffnen und braucht dafür geld.",clinton says against this: the state,"conversely, clinton says that the state has particular tasks to fulfil, giving disadvantaged people opportunities - and it needs money to do so.",0.0072
"deshalb würden die steuern für die reichen erhöht, sagt sie.","that is why taxes would increase the rich,","this would increase taxes for the rich, she says.",0.0775
interessanterweise sind sich beide sehr nahe beim thema infrastruktur.,it is interesting that both are very close to,"interestingly, they have similar views on infrastructure.",0
"in die müsse investiert werden, sagen trump und clinton fast wortgleich.","in which it is necessary to invest, it","there has to be investment in infrastructure, trump and clinton say almost verbatim.",0.0177
die demokratische bewerberin kündigt gar die größte investition in neue arbeitsplätze seit dem zweiten weltkrieg an.,"the democratic candidate, even the greatest invest",the democratic candidate has even announced the largest investment in jobs since the second world war.,0.023
staatliche investitionsprogramme in die infrastruktur sind klassische demokratische politik und werden etwa vom staatskritischen teaparty-flügel der republikaner strikt abgelehnt.,state investment programmes in infrastructure are traditional,"state programs investing in infrastructure are classic democrat policies, and are rejected by the tea party wing of the republican party, which is critical of the state.",0.0101
auf trump könnten also noch parteiinterne diskussionen zukommen.,"so, in the case of the two parties","consequently, trump could lead to discussions within the party.",0.0245
deutlicher sind die unterschiede in der energie- und klimapolitik.,the differences in energy,there are clearer differences to be seen in terms of energy and climate policies.,0.0087
trump will kohlekraftwerke bauen und die kohleförderung in den usa wieder hochfahren.,"at the same time, coal power stations are",trump wants to build coal-fired power stations and bring coal production in the usa back up.,0.0257
"ölförderung soll auch in bislang geschützten gebieten möglich sein, das pariser klimaschutzabkommen will er aufkündigen.",culture should also be possible in the so,"drilling for oil should be permitted in protected areas, and he wants to withdraw from the paris climate change treaty.",0.0088
clinton dagegen will mit ihrem investitionsprogramm ausdrücklich die erneuerbaren energien ausbauen und fordert: ein land wird die supermacht der sauberen energien werden und millionen jobs schaffen.,clinton is to develop with its invest,"on the other hand, clinton wants to use her investment program to extend renewable energies, saying: one country will become the superpower of renewable energies, and create millions of jobs.",0.0015
"es wird wohl entweder china, deutschland oder amerika sein - ich will, dass wir es sind.","it will be either china, germany or america","it will either be china, germany or america - and i want it to be us.",0.1625
doch nicht nur bei der infrastruktur - auch bei internationalen handelsabkommen sind die beiden konkurrenten nicht allzu weit voneinander entfernt.,"however, not only in infrastructure - including",but its not just infrastructure that sees the two candidates taking a rather similar stance - they agree in terms of international trade agreements as well.,0.0031
"tpp, das transpazifische handelsabkommen, wollen beide nicht unterzeichnen.","tpp, the transparent trade agre","neither want to sign ttp, the trans-pacific trade agreement.",0.0287
gleichzeitig wollen beide aber die usa nicht vom internationalen handel isolieren - sondern einfach nur amerikanische jobs besser schützen.,"at the same time, however, both the","at the same time, neither want to cut the usa off from international trade - they just want to protect american jobs better.",0.0442
"die sollen dann auch besser bezahlt werden, fordert etwa clinton.","then then it is better paid,","they should then also be better paid, clinton demands.",0.058
"der derzeitige mindestlohn von 7,25 us-dollar sei ein hungerlohn.",the current minimum wage of 7.,"the current minimum wage of 7.25 us dollars is a pittance, she says.",0.2366
ihn will sie auf 15 dollar pro stunde erhöhen.,i want to increase it to 15 dollars per,she wants to raise it to 15 dollars an hour.,0.2824
"was trump in dieser frage tun will, ist nicht ganz klar: einmal sagt er: der mindestlohn muss rauf, dann sagt er, er dürfe nicht verändert werden.",what the question is about to do in this,"it is not quite clear what trump wants to do on this score: once he said that the minimum wage had to be raised, then he said it should stay the same.",0.0052
doch die große diskussion der kommenden monate dürfte sich wohl eher um die steuerpolitik der beiden lager entwickeln.,"however, the great debate of the next",but the big discussion of the months to come will likely revolve around both parties tax policies.,0.0185
"auf der einen seite steht trump, der die wirtschaft und die bürger entlasten will, um das wachstum anzukurbeln.","on the one hand, the economy and c","trump is on one side, wanting to relieve the burden on the economy and citizens to boost growth.",0.0518
"seine kritiker halten ihm vor, damit würde das haushaltsdefizit nur noch größer.",his critics are making it possible to make the,his critics state that this will just increase the budgetary deficit.,0.0449
"auf der anderen seite steht clinton, die zumindest von den reichen verlangen will, dass sie mehr steuern zahlen, und deren kritiker sagen: mehr steuern sind auch nicht die lösung.","on the other hand, clinton, which at","clinton is on the opposite side: as a minimum, she wants the rich to pay more taxes, and her critics say that more taxes are not the solution either.",0.003
flucht: jede geflüchtete frau hat erfahrungen mit sexueller gewalt,"as a result, mrs s own own exper",seeking refuge: every refugee woman has dealt with sexual violence,0
"sexuelle gewalt gehört für frauen, die alleine fliehen, fast schon zum alltag.",the fact is that violence is,"for women fleeing a country on their own, sexual violence is almost part of daily life.",0.0163
"wenn sie in deutschland ankommen, sind sie oft traumatisiert.","if they come to germany, they are of","when they arrive in germany, they are often traumatised.",0.1304
in einer großen küche sitzen vier frauen.,in a large number of seats four wome,four women are sitting in a large kitchen.,0.1477
"jede hat ein baby dabei, das höchstens ein jahr alt ist.","everyone has a baby in this,","every one of them has a baby with them, the oldest of which is one year old.",0.0323
eine hat ihren kleinen sohn in den arm gelegt.,a small son has been set up in,one woman holds her little son in her arms.,0.0292
er guckt mit großen augen neugierig in den raum.,he is very much more serious in the area,"he looks around the room inquisitively, his eyes wide.",0.0285
seine mutter starrt auf die tischplatte.,his mother is still offending the,his mother stares at the tabletop.,0.0955
"bis sie merkt, dass sie beobachtet wird.",until it is observed.,until she realises shes being watched.,0.0487
sie lächelt kurz und küsst den kleinen.,it is a small and very short and cows,she smiles briefly and kisses the child.,0.024
bis man mit katrin bahr spricht.,"so far, we are talking about katb",until you start talking to katrin bahr.,0.033
"sie ist bereichs-geschäftsführerin von condrobs, einem träger für soziale hilfsangebote in bayern, und beschäftigt sich unter anderem mit dem thema frauen auf der flucht.","it is a car of conbs, a","she is the field manager for condrobs, a provider of social assistance within bavaria. one of the issues she deals with is refugee women.",0.0038
die vier frauen in der küche sind geflüchtete.,the four women in the chamber are,the four women in the kitchen are refugees.,0.5578
sie leben im münchner norden in einer der wenigen dezentralen unterkünfte für alleingeflüchtete frauen und ihre kinder in bayern.,they live in the north in one of the,"they live in the north of munich, in one of the few decentralised accommodation centres in bavaria for refugee women and their children who have made the journey alone.",0.081
im januar hat condrobs die einrichtung zusammen mit pro familia und der münchner frauenhilfe aufgemacht.,"in january, conbs has set up the","condrobs opened the centre in january, in collaboration with pro familia and the munich womens help organisation.",0.0185
unlängst wurde sie offiziell eröffnet.,it has been officially opened.,it recently had its official opening.,0.044
60 personen leben dort - etwa 40 frauen und 20 kinder.,60 people live there - about 40 wome,60 people live there - around 40 women and 20 children.,0.3719
männer gibt es keine - auch nicht als besucher.,there is no - not as a visitors.,there are no men - not even male visitors.,0.0652
die ausnahme ist ein wachmann vor der tür.,the exception is a growing one before the door,the exception is a bodyguard on the door.,0.3156
"es ist nicht übertrieben zu sagen: jede frau, die hier ankommt, hat auf ihrer flucht erfahrungen mit sexueller gewalt gemacht, sagt bahr.",it is not excessive to say: every woman,"im not exaggerating when i say that every woman who arrives here has dealt with sexual violence on her way to find refuge, said bahr.",0.0083
"männer fliehen wegen kriegen, weil sie politisch verfolgt werden, weil ihnen folter oder der tod drohen oder weil ihre familien sie als hoffnungsträger nach europa schicken, erzählt sie.",men are killed because they are persecuted politically,"men flee because of war, because they are politically persecuted, because they are threatened with torture or death, or because their families pin their hopes on them and send them to europe, she explains.",0.0063
"bei frauen überwiegen andere gründe für die flucht: viele stehlen sich heimlich davon, weil sie keinen anderen ausweg sehen.","in women, there are many reasons","when women flee, other reasons are in the foreground: many women sneak away secretly, because they see no other way out.",0.0047
"in ihrer heimat haben sie erfahrung mit sexueller gewalt, zwangsehen, ehrenmorden, sklaverei oder zwangsprostitution gemacht.","in your home, you have experien","in their home countries, they experienced sexual violence, forced marriage, honour killings, slavery or forced prostitution.",0.0077
auf der flucht geht das weiter.,this is what is happening.,and it continues even while theyre on the run.,0
"dass schlepper zum beispiel für eine flasche wasser eine sexuelle handlung fordern, ist keine seltenheit, sagt bahr.",the fact that the traffickers of traffickers are asking,"it is not a rare occurrence that traffickers request a sexual act in exchange for a bottle of water, for example, says bahr.",0.0067
"und die frauen sind alleine, sie werden nicht von ihren familien geschützt.","and women are alone, they are","and the woman are alone, unprotected by their families.",0.058
"wer glaube, dass das ende, sobald sie in deutschland ankämen, irre, erzählt bahr.",anyone who believe that the end whe,"if you think that this stops as soon as they arrive in germany, youd be wrong, says bahr.",0.0069
auch hier würden alleinstehende frauen in flüchtlingsunterkünften oft als minderwertig betrachtet und schlimmstenfalls missbraucht.,"here too, women in refugee meetings","even in germany, lone women are often seen as inferior in refugee accommodation, and, in the worst cases, they are abused.",0.0078
"das führt dazu, dass etwa 90 prozent der frauen, die in der unterkunft im münchner norden wohnen, traumatisiert sind, schätzt sie.",this leads to the fact that approximately 90%,"as a result, around 90 percent of the women living in accommodation in the north of munich are traumatised, she estimates.",0.0055
einige der kinder sind sicher nicht freiwillig entstanden.,some of children are certainly not voluntary,some of the children were certainly not conceived with the womans consent.,0.0511
"viele frauen seien es so gewohnt, dass sie nichts sagen.",many women are so den,"many women are so used to it that they do not say anything, she says.",0.0905
"oder sie trauen sich nicht, offen über das erlebte zu sprechen, weil die scham zu groß ist.",or you did not speak openly,or they cant bring themselves to talk about what they experienced because they are too ashamed.,0.0077
"da sie sich oft nicht zu helfen wüssten, brauche es mehr unterkünfte nur für sie, fordert bahr.",since they often do not know,"because they often dont know how to get help, there needs to be more accommodation just for them, says bahr.",0.0093
in bayern sind die sieben bezirksregierungen für die unterbringung von flüchtlingen zuständig.,"in bavaria, the seven-owned","in bavaria, the seven district governments are responsible for providing accommodation for refugees.",0.0419
"auf die frage, ob sie von einem ähnlichen projekt wie in münchen in ihrem zuständigkeitsbereich wüssten, antworten einige mit nein.",the question is whether you know from a similar,"when asked if they knew of projects like the one in munich operating within the areas they covered, some answered with no.",0.0057
in der oberpfalz und oberfranken etwa gibt es so etwas in unterkünften der regierungen nicht.,"in the upper and upperlken,","in upper palatinate and upper franconia regions, for example, there is no similar accommodation offered by the government.",0.0056
"auch in schwaben werden allein geflüchtete frauen nicht getrennt untergebracht, sagt karl-heinz meyer, pressesprecher der regierung.",even in the event of the,"even in swabia, women who come as lone refugees are not given separate accommodation, says karl-heinz meyer, press spokesperson for the region.",0.0066
"in oberbayern, unter- und mittelfranken gibt es in manchen gemeinschaftsunterkünften stockwerke oder eigene häuser nur für alleinstehende frauen und deren kinder.",in the upper-h- and cen,"in upper bavaria, lower franconia and middle franconia, floors, or individual houses, are set aside in some shared accommodation for lone women and their children.",0.0012
"die ausnahme ist niederbayern, dort gibt es zwei zentrale unterkünfte ausschließlich für frauen.","the exception is a dutch, there are two","the exception is lower bavaria: there, there are two central accommodation centres exclusively for women.",0.0964
"auch der ausschuss rechte der frau und gleichstellung der geschlechter im europaparlament fordert, dass frauen getrennt von männern untergebracht werden müssen.",the committee on womens rights and ge,even the european parliaments committee on womens rights and gender equality stresses that women must be provided with accommodation separate from that of the men.,0.0492
"in einer studie, die für den ausschuss veröffentlicht wurde, heißt es: es ist sehr wichtig, dass männer und frauen getrennt beherbergt werden.","in a study published by the committee, it","in a study published on behalf of the committee, it was stated that it is very important that men and women are given separate accommodation.",0.0597
"fehlt die privatsphäre oder werden männer und frauen zusammen untergebracht, kann es zu - fortwährender - gewalt gegen frauen kommen.",the privacy or women are being held,"if there is a lack of private space, or if men and women are provided with accommodation together, this can result in (perpetual) violence against women.",0.0051
"vor allem die waschräume sollten getrennt und für frauen leicht zugänglich sein, steht in der studie.","in particular, the absence should","washing facilities, above all, should be separate, and easily accessible for women, according to the study.",0.0071
"wie sehr die frauen dieses schutzbedürfnis verspüren, kann man am andrang ablesen, den es auf das haus in münchen gibt.","as the women of this protection,",the extent to which women need this protection can be seen in the sheer number of people interested in the house in munich.,0.0034
"seit sich herumgesprochen hat, dass es uns gibt, haben wir eine lange warteliste, sagt bahr.","since then, we have been","since word has got around that we exist, we have developed a long waiting list, says bahr.",0.0114
man könnte leicht ein zweites haus aufmachen.,one could be a second house.,it would be easy to open a second house.,0.1317
assistenzärzte streiken: forderungen nach neuen arbeitskampfmaßnahmen,the fact that doctors are strict: demands for,junior doctors strike: calls for fresh industrial action,0.033
"stellvertreter der assistenzärzte haben ihre gewerkschaft dazu aufgerufen, neue arbeitskampfmaßnahmen bei ihren streitigkeiten bezüglich eines neuen vertrages zu genehmigen.",the assistants have called on their trade union to,representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract.,0.0936
"das junior doctors committee (jdc) der british medical association (bma) hat seinen gesamten rat gefordert, ab anfang september mehr arbeitskampfmaßnahmen zu genehmigen.",the junior doctors committee (jightened,the junior doctors committee (jdc) of the british medical association (bma) is to ask its full council to back more industrial action from early september.,0.0122
"der jdc sagte aus, dass es minister verabsäumt hätten, auf die sorgen bezüglich des vertrages einzugehen.",the jange said that ministers would have bee,the jdc says ministers have failed to address concerns about the contract.,0.0222
"assistenzärzte und medizinstudenten haben im juli über die ablehnung eines vertrages abgestimmt, der mit der bma vereinbart wurde.",the fact that doctors and medical studen,junior doctors and medical students voted in july to reject a contract deal agreed with the bma.,0.0421
"er wurde von 58 % seiner mitglieder abgelehnt, die bei den wahlen abgestimmt haben.",he was rejected by 58% of his members,it was rejected by 58% of its members who voted in the ballot.,0.2896
"in einem brief an die mitglieder, der am donnerstag abend auf twitter veröffentlicht wurde, sagte die vorsitzende des jdc ellen mccourt, dass die regierung beharrlich ruhig zu problemen geblieben wäre, was dazu führte, dass der vertrag abgelehnt wurde.",in a letter to members who published on thursday,"in a letter to members released on twitter on thursday night, the jdcs chair ellen mccourt said the government had remained persistently silent on issues which, she said, had resulted in the contract being rejected.",0.0286
"sie sagte:in anbetracht dessen hat der jdc vorstand abgestimmt, den vorgeschlagenen neuen vertrag vollständig abzulehnen und offizielle neuverhandlungen zu all euren sorgen angefordert.","in view of this, the j souveränität board","she said: in light of this, the jdc executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns.",0.0094
"als antwort auf das schweigen der regierung hat der jdc vorstand heute einen formalen antrag auf ein spezielles treffen des bma rates gestellt, um ein laufendes programm eskalierender arbeitskampfmaßnahmen, das anfang september beginnt, zu genehmigen.",as a response to the silence,"in response to the governments silence, jdc exec has today made a formal request for a special meeting of bma council to authorise a rolling programme of escalated industrial action beginning in early september.",0.002
"die streitigkeiten führten dazu, dass assistenzärzte dieses jahr sechsmal streikten, die ersten gesamtausfälle in der geschichte des nhs.",the disputes led to the fact that assistants of,"the dispute has led to junior doctors taking part in six strikes this year, including the first all-out stoppages in the history of the nhs.",0.0108
"der leiter der bma assistenzärzte dr. johann malawana trat nach der wahl zur ablehnung der vereinbarten vertragsbedingungen, die von der bma empfohlen worden waren, zurück.",the head of the bma assisten,"the bmas junior doctor leader, dr johann malawana, resigned following the vote to reject the negotiated terms of the contract, which the bma had recommended.",0.0051
"er teilte bma mitgliedern während der sitzungen, die noch vor der abstimmung durch 54.000 assistenzärzte und medizinstudenten stattfanden, mit, dass der vertrag vorteilhaft sei und angenommen werden sollte.",he wrote bma members during the meetings that,"he had told bma members the deal was a good one that should be accepted, during meetings ahead of the poll of 54,000 junior doctors and medical students.",0.0066
"nach der abstimmung sagte der gesundheitsminister jeremy hunt, dass der vertrag für ärzte in england zwangsweise eingeführt werden würde.","after the vote, the minister for health,","following the vote, health secretary jeremy hunt said the contract would be imposed on medics in england.",0.0185
russland und türkei: eine allianz von außenseitern?,russia and turkey: an alliance of external members,russia and turkey: an alliance of misfits?,0.6804
"es war eine geste, die eine krise beendete.",it was a gesture that was put an e,it was a gesture that ended a crisis.,0.4463
"die anführer russlands und der türkei trafen sich am dienstag, um sich die hände zu geben und ein offizielles ende des acht monate lang andauernden krieges der worte und wirtschaftlichen sanktionen zu verkünden.",the leader of russia and turkey was in the,the leaders of russia and turkey met on tuesday to shake hands and declare a formal end to an eight-month long war of words and economic sanctions.,0.0427
"aber als vladimir putin seinen türkischen gegenspieler im vergoldeten saal des st. petersburger palastes in empfang nimmt, kann ich mich nicht des eindrucks verwehren, dass ankara diese versöhnung am meisten will.","but as mr putin, his turkish represe","but, as vladimir putin greeted his turkish counterpart in the gilded hall of a st. petersburg palace, i got the distinct impression that ankara wants this reconciliation the most.",0.0033
"es gab den handschlag, ja.","there was the hand, yes.","there was the handshake, yes.",0.2857
