source,prediction,reference,bleu
"er werde regulierungen massiv zurückfahren, und er macht sich für eine weitreichende steuerreform mit niedrigeren steuersätzen stark - für privatleute und für unternehmen.",it will be a massive reduction in regulation and makes it strong for a far-reaching tax reform with lower tax rates - for private and businesses. is a large extent is in place for a large number of tax systems. is no,"he would repeal regulations, and lead a wide-reaching tax reform with low rates for private individuals and companies.",0.0317
"clinton dagegen sagt: der staat hat bestimmte aufgaben zu erfüllen, er hat benachteiligten chancen zu eröffnen und braucht dafür geld.","clinton says against this: the state has a certain task to meet, it has a disadvantaged opportunity and needs money. is no longer, the state has a certain task. is a matter of the european union. is a matter of fact","conversely, clinton says that the state has particular tasks to fulfil, giving disadvantaged people opportunities - and it needs money to do so.",0.0333
"deshalb würden die steuern für die reichen erhöht, sagt sie.","that is why taxes would increase the rich, says it. is a matter is a matter of the european union. is a matter of the european union. is then one is doing so, it would be more than it is a matter.","this would increase taxes for the rich, she says.",0.0139
interessanterweise sind sich beide sehr nahe beim thema infrastruktur.,"it is interesting that both are very close to the infrastructure. is a matter, then the commission is very interesting. is a matter of infrastructure. is a matter of the european union. is a matter of fact,","interestingly, they have similar views on infrastructure.",0.005
"in die müsse investiert werden, sagen trump und clinton fast wortgleich.","in which it is necessary to invest, it is almost worth saying that there is almost a word. is a matter is a matter of the european union. is a matter of the european union, the commission is making it more than the.","there has to be investment in infrastructure, trump and clinton say almost verbatim.",0.0061
die demokratische bewerberin kündigt gar die größte investition in neue arbeitsplätze seit dem zweiten weltkrieg an.,"the democratic candidate, even the greatest investment in new jobs since the second world war. is a united states s democratic candidate. is a matter of the european union, is not a matter of time., it is a democratic rule of europe",the democratic candidate has even announced the largest investment in jobs since the second world war.,0.1392
staatliche investitionsprogramme in die infrastruktur sind klassische demokratische politik und werden etwa vom staatskritischen teaparty-flügel der republikaner strikt abgelehnt.,"state investment programmes in infrastructure are traditional democratic policy and are completely rejected by the state teny-cerning of the agenda. is no longer, the public is not a matter of a clear lack of investment. is a matter of fact","state programs investing in infrastructure are classic democrat policies, and are rejected by the tea party wing of the republican party, which is critical of the state.",0.0526
auf trump könnten also noch parteiinterne diskussionen zukommen.,"so, in the case of the two parties, we could have a number of discussions. is a matter is a matter of the european union. is a matter of fact. is a matter of fact a matter of time.","consequently, trump could lead to discussions within the party.",0.0056
deutlicher sind die unterschiede in der energie- und klimapolitik.,"the differences in energy and climate policy are clear. is no longer, the commission is not a matter of concern. is a matter of the european union.. is a matter of fact, it is clear that the differences are",there are clearer differences to be seen in terms of energy and climate policies.,0.029
trump will kohlekraftwerke bauen und die kohleförderung in den usa wieder hochfahren.,"at the same time, coal power stations are going to build and the promotion of carbon dioxide in the united states. is a matter of the european union. is a matter of the european union, then it is a matter of time..",trump wants to build coal-fired power stations and bring coal production in the usa back up.,0.0173
"ölförderung soll auch in bislang geschützten gebieten möglich sein, das pariser klimaschutzabkommen will er aufkündigen.","culture should also be possible in the so far protected areas, the paris climate protection agreement is intended to postpone. is a matter of the european union. is a matter for the european union. is a matter of fact a real problem.","drilling for oil should be permitted in protected areas, and he wants to withdraw from the paris climate change treaty.",0.0325
clinton dagegen will mit ihrem investitionsprogramm ausdrücklich die erneuerbaren energien ausbauen und fordert: ein land wird die supermacht der sauberen energien werden und millionen jobs schaffen.,"clinton is to develop with its investment programme, specifically calls for renewable energy and demand that a country will be the super-free power of clean energy and create millions of jobs.. is a country will be a super-c","on the other hand, clinton wants to use her investment program to extend renewable energies, saying: one country will become the superpower of renewable energies, and create millions of jobs.",0.0858
"es wird wohl entweder china, deutschland oder amerika sein - ich will, dass wir es sind.","it will be either china, germany or america - i want it to be. is a matter, we are in the european union. is no longer is a matter of fact, it will be a matter of fact..","it will either be china, germany or america - and i want it to be us.",0.1755
doch nicht nur bei der infrastruktur - auch bei internationalen handelsabkommen sind die beiden konkurrenten nicht allzu weit voneinander entfernt.,"however, not only in infrastructure - including international trade agreements, the two competitors are not too far from being left. is no longer happens. is a matter for the european union. is not a matter of fact a great great.",but its not just infrastructure that sees the two candidates taking a rather similar stance - they agree in terms of international trade agreements as well.,0.0174
"tpp, das transpazifische handelsabkommen, wollen beide nicht unterzeichnen.","tpp, the transparent trade agreement, do not want to sign both. is no longer happens the same time. is a matter of the european union, then it is a matter of transparency..","neither want to sign ttp, the trans-pacific trade agreement.",0.0328
gleichzeitig wollen beide aber die usa nicht vom internationalen handel isolieren - sondern einfach nur amerikanische jobs besser schützen.,"at the same time, however, both the united states do not want to isolate international trade - but simply protect american jobs better. is no longer is a matter of no longer a question of the united states. is not a matter of fact a question.","at the same time, neither want to cut the usa off from international trade - they just want to protect american jobs better.",0.1339
"die sollen dann auch besser bezahlt werden, fordert etwa clinton.","then then it is better paid, is calling for some clinton. is a matter is a matter of the european union. is a matter of the european union, then it is the case that it is to be used..","they should then also be better paid, clinton demands.",0.0119
"der derzeitige mindestlohn von 7,25 us-dollar sei ein hungerlohn.",the current minimum wage of 7.25 is a hunger wage. is a total is a minimum of 7. is a total of 7.m. is a total wage..,"the current minimum wage of 7.25 us dollars is a pittance, she says.",0.1923
ihn will sie auf 15 dollar pro stunde erhöhen.,"i want to increase it to 15 dollars per hour. is a m m moment, it is a matter of time. is a matter of the european union, is a question of increasing the european union..",she wants to raise it to 15 dollars an hour.,0.071
"was trump in dieser frage tun will, ist nicht ganz klar: einmal sagt er: der mindestlohn muss rauf, dann sagt er, er dürfe nicht verändert werden.","what the question is about to do in this question is not clear: once saying that it must be a minimum wage, he says that it should not be changed. is then it is not possible to change. is no","it is not quite clear what trump wants to do on this score: once he said that the minimum wage had to be raised, then he said it should stay the same.",0.042
doch die große diskussion der kommenden monate dürfte sich wohl eher um die steuerpolitik der beiden lager entwickeln.,"however, the great debate of the next few months should be more concerned about fiscal policy for the two camps. is a matter is a great deal of debate. is a great deal of the future. is a matter of fact a question.",but the big discussion of the months to come will likely revolve around both parties tax policies.,0.0108
"auf der einen seite steht trump, der die wirtschaft und die bürger entlasten will, um das wachstum anzukurbeln.","on the one hand, the economy and citizens want to benefit from growth. is a matter is a single single single single-class and the public. is a european union s economy and the public are going to increase growth..","trump is on one side, wanting to relieve the burden on the economy and citizens to boost growth.",0.0817
"seine kritiker halten ihm vor, damit würde das haushaltsdefizit nur noch größer.",his critics are making it possible to make the budget deficit even greater. is a situation in the same way that the budget is still more important. is a situation in the european union..,his critics state that this will just increase the budgetary deficit.,0.0138
"auf der anderen seite steht clinton, die zumindest von den reichen verlangen will, dass sie mehr steuern zahlen, und deren kritiker sagen: mehr steuern sind auch nicht die lösung.","on the other hand, clinton, which at least wants to demand more taxes and whose critics say: more taxes are not the solution. is not a solution. is a problem.","clinton is on the opposite side: as a minimum, she wants the rich to pay more taxes, and her critics say that more taxes are not the solution either.",0.159
flucht: jede geflüchtete frau hat erfahrungen mit sexueller gewalt,"as a result, mrs s own own experience of sexual violence, the commission is a single single-class and the commission is not doing so.",seeking refuge: every refugee woman has dealt with sexual violence,0.0079
"sexuelle gewalt gehört für frauen, die alleine fliehen, fast schon zum alltag.","the fact is that violence is one of women who are at all at all, almost daily lives. is a day, the european union is not a matter of day-totentioned violence..","for women fleeing a country on their own, sexual violence is almost part of daily life.",0.0174
"wenn sie in deutschland ankommen, sind sie oft traumatisiert.","if they come to germany, they are often dream. is a matter is a matter of fact, it is often a lot of dream. is a matter of the european union..","when they arrive in germany, they are often traumatised.",0.0794
in einer großen küche sitzen vier frauen.,in a large number of seats four women. is a great one is a great deal of a great number of others. is a great problem. is a great problem..,four women are sitting in a large kitchen.,0.0332
"jede hat ein baby dabei, das höchstens ein jahr alt ist.","everyone has a baby in this, which is the highest year. is a year. is a year. is a high time.. is a year..","every one of them has a baby with them, the oldest of which is one year old.",0.0515
eine hat ihren kleinen sohn in den arm gelegt.,a small son has been set up in the poor. is a matter is a matter of the european union. is a matter of the european union. is a matter of the european union..,one woman holds her little son in her arms.,0.0065
er guckt mit großen augen neugierig in den raum.,he is very much more serious in the area. is a matter is a great deal of a great deal of time. is a matter of the european union. is a great,"he looks around the room inquisitively, his eyes wide.",0.0069
seine mutter starrt auf die tischplatte.,"his mother is still offending the table. is a country is a single single single-general., then then is a mother. is a source of the mother is a source of life..",his mother stares at the tabletop.,0.0141
"bis sie merkt, dass sie beobachtet wird.","until it is observed. is then case the commission is not a matter of course, it is a matter of concern. is a matter of the european union, then it is not a matter of discussion..",until she realises shes being watched.,0.0052
sie lächelt kurz und küsst den kleinen.,it is a small and very short and cows. is a little is a matter of the european union. is a matter of the european union. is not a matter of the european union. is a matter of fact,she smiles briefly and kisses the child.,0.0056
bis man mit katrin bahr spricht.,"so far, we are talking about katbahr. is a matter is a matter of the european union. is a matter of the european union.. is a matter of fact, i am talking about the commission s own,",until you start talking to katrin bahr.,0.005
"sie ist bereichs-geschäftsführerin von condrobs, einem träger für soziale hilfsangebote in bayern, und beschäftigt sich unter anderem mit dem thema frauen auf der flucht.","it is a car of conbs, a car for social assistance in bavaria, and also concerns women on the issue. is a matter of conbs, a carers. is a matter for social assistance in bavaria. is a matter of wome.","she is the field manager for condrobs, a provider of social assistance within bavaria. one of the issues she deals with is refugee women.",0.0146
die vier frauen in der küche sind geflüchtete.,"the four women in the chamber are more well-being. is a matter is a matter of the day, the four women are more than the case. is a matter of the european union..",the four women in the kitchen are refugees.,0.11
sie leben im münchner norden in einer der wenigen dezentralen unterkünfte für alleingeflüchtete frauen und ihre kinder in bayern.,they live in the north in one of the few decentralised homes for all the women and their children in bavaria. is a few people have a few people who are unemployed. is a few people have beent in,"they live in the north of munich, in one of the few decentralised accommodation centres in bavaria for refugee women and their children who have made the journey alone.",0.2847
im januar hat condrobs die einrichtung zusammen mit pro familia und der münchner frauenhilfe aufgemacht.,"in january, conbs has set up the establishment of centre and the womens aid. is a single of the european union. is a matter of the european union. is a matter for the european union. is a matter of fact a good thing,","condrobs opened the centre in january, in collaboration with pro familia and the munich womens help organisation.",0.0147
unlängst wurde sie offiziell eröffnet.,it has been officially opened. is the case then case thennnnnnts are a great deal of time. is then the commission has been open to the european union..,it recently had its official opening.,0.0067
60 personen leben dort - etwa 40 frauen und 20 kinder.,60 people live there - about 40 women and 20 children. is a country is a country that is in the same way that they live. is a situation in which they live. is a country of the european union..,60 people live there - around 40 women and 20 children.,0.172
männer gibt es keine - auch nicht als besucher.,there is no - not as a visitors. is no one is a public. is no longer then then is a matter of public opinion. is not a matter of public opinion..,there are no men - not even male visitors.,0.0155
die ausnahme ist ein wachmann vor der tür.,the exception is a growing one before the door. is a one is a problem. is a question of the same time. is a problem. is a problem. is a matter of fact,the exception is a bodyguard on the door.,0.0836
"es ist nicht übertrieben zu sagen: jede frau, die hier ankommt, hat auf ihrer flucht erfahrungen mit sexueller gewalt gemacht, sagt bahr.","it is not excessive to say: every woman who has done so, has made experience of sexual violence, says bahr. is a matter of fact..","im not exaggerating when i say that every woman who arrives here has dealt with sexual violence on her way to find refuge, said bahr.",0.0479
"männer fliehen wegen kriegen, weil sie politisch verfolgt werden, weil ihnen folter oder der tod drohen oder weil ihre familien sie als hoffnungsträger nach europa schicken, erzählt sie.","men are killed because they are persecuted politically, because they are threatening torture or death or because their families send them as a leaders to europe, you are told. is a country that is a country that is in the country of europe..","men flee because of war, because they are politically persecuted, because they are threatened with torture or death, or because their families pin their hopes on them and send them to europe, she explains.",0.1249
