source,prediction,reference,bleu
in ihrem neuen film mothers day - liebe ist kein kinderspiel ist aniston als eine alleinerziehende mutter zweier söhne zu sehen.,in your new film mothers day - no population is a person to be,"in her new film, mothers day - love isnt childs play, aniston stars as a single mother with two sons.",0.0548
der film läuft bei uns ab dem 25. august.,the film is in the light of 25 august.,the film is released in germany on 25 august.,0.1562
golfer langer erhält die sportpyramide,"in the long run, sport is a high high high.",golfer langer is awarded the sport pyramid,0.0278
seine erfahrungen auf dem pferd sind überschaubar.,his experience on the horse is very easily.,his experience on horseback is negligible.,0.1477
am ende eines golfturniers in südafrika suchte bernhard langer mit einigen kollegen ein bisschen abwechslung mit einem ausritt am strand.,"on the end of a golftk in south africa, a","at the end of a golfing tournament in south africa, bernhard langer and a colleague went for a ride along the beach for a bit of fun.",0.0718
für den 58-jährigen war es eine premiere.,it was a first-year-old for the 58-year.,it was a first for the 58-year-old.,0.2056
chio: goldene sportpyramide für bernhard langer,"in the first: goldene sport, the long-term sports",chio: golden sport pyramid for bernhard langer,0
"nach einigen minuten erinnerten sich die pferde an ihren feierabend, sie jagten im schnellen galopp nach hause zu den futtertrögen.","after a few minutes, the embassies were reminded of their ceremony, they","after a few minutes, the horse decided it wanted to go home, and raced back to its feeding trough at full tilt.",0.1378
"ein kilometer bei diesem tempo, ich habe angst gehabt.","a kilometres of this pace, i have been afraid.",after a kilometre at this speed i was scared.,0.0316
"es war kein gutes erlebnis, sagt langer.","it was not a good thing, a long time.","it wasnt a good experience, said langer.",0.0561
und damit endete die reitkarriere dann auch schon wieder.,and then then then then then then again,"and with that, his riding career came to an end again.",0.0191
am samstag war deutschlands bester golfer aller zeiten - 101 turniersiege - wieder in der nähe von pferden.,"on saturday, germany was the best golfer of all times - there","on saturday, germanys best golfer of all time - with 101 tournament wins under his belt - was once again near horses.",0.1177
"er ließ sich mit seiner familie über die anlage des alrv führen, auf ein pferd schwang er sich nicht mal zu fotozwecken.","he had a family on the annex of alrv, he did","he and his family toured the alrv grounds, but he did not jump onto a horse for a photo.",0.0254
langer war das erste mal in aachen und damit auch beim chio.,"in close, the first time was in a and so it was the","it was langers first time in aachen, and at chio.",0.0514
der grund war durchaus überzeugend.,the reason was very convincing.,he had been thoroughly convinced.,0
die deutsche sporthilfe überreichte dem mann aus anhausen im rahmen einer kleinen gala die goldene sportpyramide.,"the german sport aid over the man of a small-scale sports,",the german sport aid foundation awarded the man from anhausen with the golden sport pyramid at a small gala event.,0.1279
an auszeichnungen mangelt es dem sympathischen sportler nicht.,it is not a lack of the general sportsmen.,the friendly sportsman is not lacking for awards.,0.0561
"bundesverdienstkreuz, silbernes lorbeerblatt, champions-tour-player of the year...","criticism, the most-called lauger, the champions","the federal cross of merit, the silver laurel leaf, champions tour player of the year...",0.012
selbst die britische queen hat ihn schon geadelt.,even the british queen has already been a ge,even the british queen has bestowed an honour upon him.,0.3994
langer ist der 18. preisträger der sportpyramide.,"in many years, the 18th anniversary of sport is the case.",langer is the 18th person to be awarded the sport pyramid.,0.0596
in aachen traf er am samstag den ersten preisträger hans günter winkler.,"in a sense, he met the first-minute hans win","on saturday, he met the first person to receive it, hans günter winkler, in aachen.",0.0692
"diese auszeichnung bedeutet mir sehr viel, sagt langer, denn sie wird nicht nur für sportliche erfolge, sondern auch für gesellschaftliches engagement vergeben.","this is a great deal of credit, but it is not only a","this award means a lot to me, said langer, because its not just given for sporting success, but also for social commitment.",0.011
seit jahrzehnten fördert langer den nachwuchs.,"for decades, long encourages the car.",langer has been encouraging up-and-coming talent for years.,0.0293
und so gab er auch das preisgeld von 25.000 euro gleich weiter.,and so he has also gone on to the price of eur 25000,"and in this vein, he passed the prize money of 25,000 euros on straight away.",0.0199
mit 15 weiteren herausragenden sportlern wurde der zweifache us-masterssieger am samstag in die hall of fame des deutschen sports aufgenommen.,the two us-largement in the hall of the german,"the two-time us masters champion was inaugurated into the hall of fame for german sport on saturday, along with 15 other outstanding sportspeople.",0.0285
"zu den ausgezeichneten gehören die leichtathleten hartwig gauder und harald schmitt, der turner eberhard gienger, die fechter cornelia hanisch, alexander pusch und arnd schmitt, der ruderer peter-michael kolbe, bob-fahrer meinhard nehmer, der judoka frank wieneke, der springreiter alwin schockemöhle und posthum der handballer erhard wunderlich.","the fence of hemp, alexander push and ar schmitt",", alexander putsch and arnd schmitt, rower peter-michael kolbe, bob-sleigh rider meinhard nehmer, judo player frank wieneke, show-jumper alwin schockemöhle, and, posthumously, handball player erhard wunderlich.",0.0043
viele dieser sportlegenden waren am samstag nach aachen gekommen.,many of these sports were held after saturday.,many of these sport legends came to aachen on saturday.,0.115
"nach dem offiziellen teil wanderte die illustre gesellschaft ins springstadion, wo der lavazza-preis lief.","after official part of migrant society, the present of the first","after the official part, the illustrious gathering wandered to the show-jumping stadium, where the lavazza prize was underway.",0.0141
bernhard langer hielt abstand zu den großen tieren.,"however, mr palacio felt a long time to the large animals.",bernhard langer kept his distance from the large animals.,0.0933
clintons und trumps wirtschaftspolitik im vergleich: its all about the money,clintons and economic policy compared with all the money,comparing clintons and trumps economic policies: its all about the money,0.0636
in infrastruktur investieren und das handelsabkommen ttp verhindern - das wollen sowohl clinton als auch trump.,in infrastructure and prevent the trade agreement in t-,both clinton and trump want to invest in infrastructure and prevent the ttp trade agreement.,0.2398
uneins sind sich die beiden us-präsidentschaftsbewerber jedoch bei der steuer- und energiepolitik sowie in einer grundsatzfrage.,"however, the two us presidency is in the light","but the two candidates for the us presidency disagree on taxes and energy policies, as well as on one fundamental issue.",0.02
"den unterschieden in der wirtschaftspolitik zwischen donald trump und hillary clinton liegt ein grundsätzlicher, eher philosophischer unterschied zugrunde.",the differences in economic policy between the pres,there is a fundamental philosophical reason for the differences between donald trumps and hillary clintons economic policies.,0.0227
"der, über die rolle des staates.",the role of the state is the case.,this is the role of the state.,0.3928
"trump will die im zweifel eher klein halten und warnt davor, wie der staat der wirtschaft schaden kann - mit steuern und regulierungen.",the question of the state of economic growth is that the state can harm,"if in doubt, trump wants the states role to be minor, and warns of how the state can damage the economy with taxes and regulations.",0.0383
"clinton wolle die wirtschaft zu tode besteuern und zu tode regulieren, sagt er.","clinton wants to death and to death, he says that it","clinton wants to lead the economy to its death and regulate it to its death, he says.",0.0846
"er selber dagegen wäre ganz anders, behauptet trump.","he would be quite different to the case, that it is","he would do things totally differently, trump says.",0.0399
"er werde regulierungen massiv zurückfahren, und er macht sich für eine weitreichende steuerreform mit niedrigeren steuersätzen stark - für privatleute und für unternehmen.",it will be a massive reduction in regulation and makes it strong for a,"he would repeal regulations, and lead a wide-reaching tax reform with low rates for private individuals and companies.",0.0141
"clinton dagegen sagt: der staat hat bestimmte aufgaben zu erfüllen, er hat benachteiligten chancen zu eröffnen und braucht dafür geld.",clinton says against this: the state has a certain task to,"conversely, clinton says that the state has particular tasks to fulfil, giving disadvantaged people opportunities - and it needs money to do so.",0.0412
"deshalb würden die steuern für die reichen erhöht, sagt sie.","that is why taxes would increase the rich, says it.","this would increase taxes for the rich, she says.",0.0667
interessanterweise sind sich beide sehr nahe beim thema infrastruktur.,it is interesting that both are very close to the infrastructure.,"interestingly, they have similar views on infrastructure.",0.0189
"in die müsse investiert werden, sagen trump und clinton fast wortgleich.","in which it is necessary to invest, it is almost worth saying that","there has to be investment in infrastructure, trump and clinton say almost verbatim.",0.0204
die demokratische bewerberin kündigt gar die größte investition in neue arbeitsplätze seit dem zweiten weltkrieg an.,"the democratic candidate, even the greatest investment in new jobs",the democratic candidate has even announced the largest investment in jobs since the second world war.,0.0398
staatliche investitionsprogramme in die infrastruktur sind klassische demokratische politik und werden etwa vom staatskritischen teaparty-flügel der republikaner strikt abgelehnt.,state investment programmes in infrastructure are traditional democratic policy and are completely,"state programs investing in infrastructure are classic democrat policies, and are rejected by the tea party wing of the republican party, which is critical of the state.",0.0318
auf trump könnten also noch parteiinterne diskussionen zukommen.,"so, in the case of the two parties, we could have a","consequently, trump could lead to discussions within the party.",0.0203
deutlicher sind die unterschiede in der energie- und klimapolitik.,the differences in energy and climate policy are clear,there are clearer differences to be seen in terms of energy and climate policies.,0.081
trump will kohlekraftwerke bauen und die kohleförderung in den usa wieder hochfahren.,"at the same time, coal power stations are going to build and the",trump wants to build coal-fired power stations and bring coal production in the usa back up.,0.0424
"ölförderung soll auch in bislang geschützten gebieten möglich sein, das pariser klimaschutzabkommen will er aufkündigen.","culture should also be possible in the so far protected areas, the","drilling for oil should be permitted in protected areas, and he wants to withdraw from the paris climate change treaty.",0.0243
clinton dagegen will mit ihrem investitionsprogramm ausdrücklich die erneuerbaren energien ausbauen und fordert: ein land wird die supermacht der sauberen energien werden und millionen jobs schaffen.,"clinton is to develop with its investment programme, specifically","on the other hand, clinton wants to use her investment program to extend renewable energies, saying: one country will become the superpower of renewable energies, and create millions of jobs.",0.0031
"es wird wohl entweder china, deutschland oder amerika sein - ich will, dass wir es sind.","it will be either china, germany or america - i want it to","it will either be china, germany or america - and i want it to be us.",0.4359
doch nicht nur bei der infrastruktur - auch bei internationalen handelsabkommen sind die beiden konkurrenten nicht allzu weit voneinander entfernt.,"however, not only in infrastructure - including international trade agreemen",but its not just infrastructure that sees the two candidates taking a rather similar stance - they agree in terms of international trade agreements as well.,0.0119
"tpp, das transpazifische handelsabkommen, wollen beide nicht unterzeichnen.","tpp, the transparent trade agreement, do not","neither want to sign ttp, the trans-pacific trade agreement.",0.0295
gleichzeitig wollen beide aber die usa nicht vom internationalen handel isolieren - sondern einfach nur amerikanische jobs besser schützen.,"at the same time, however, both the united states do not want","at the same time, neither want to cut the usa off from international trade - they just want to protect american jobs better.",0.0938
"die sollen dann auch besser bezahlt werden, fordert etwa clinton.","then then it is better paid, is calling for some clinton","they should then also be better paid, clinton demands.",0.0474
"der derzeitige mindestlohn von 7,25 us-dollar sei ein hungerlohn.",the current minimum wage of 7.25 is a hunger wage,"the current minimum wage of 7.25 us dollars is a pittance, she says.",0.4307
ihn will sie auf 15 dollar pro stunde erhöhen.,i want to increase it to 15 dollars per hour.,she wants to raise it to 15 dollars an hour.,0.2907
"was trump in dieser frage tun will, ist nicht ganz klar: einmal sagt er: der mindestlohn muss rauf, dann sagt er, er dürfe nicht verändert werden.",what the question is about to do in this question is not clear:,"it is not quite clear what trump wants to do on this score: once he said that the minimum wage had to be raised, then he said it should stay the same.",0.0124
doch die große diskussion der kommenden monate dürfte sich wohl eher um die steuerpolitik der beiden lager entwickeln.,"however, the great debate of the next few months should be more",but the big discussion of the months to come will likely revolve around both parties tax policies.,0.0282
"auf der einen seite steht trump, der die wirtschaft und die bürger entlasten will, um das wachstum anzukurbeln.","on the one hand, the economy and citizens want to","trump is on one side, wanting to relieve the burden on the economy and citizens to boost growth.",0.1508
"seine kritiker halten ihm vor, damit würde das haushaltsdefizit nur noch größer.",his critics are making it possible to make the budget deficit even greater,his critics state that this will just increase the budgetary deficit.,0.0364
"auf der anderen seite steht clinton, die zumindest von den reichen verlangen will, dass sie mehr steuern zahlen, und deren kritiker sagen: mehr steuern sind auch nicht die lösung.","on the other hand, clinton, which at least wants to demand more","clinton is on the opposite side: as a minimum, she wants the rich to pay more taxes, and her critics say that more taxes are not the solution either.",0.011
flucht: jede geflüchtete frau hat erfahrungen mit sexueller gewalt,"as a result, mrs s own own experience of sexual",seeking refuge: every refugee woman has dealt with sexual violence,0.0211
"sexuelle gewalt gehört für frauen, die alleine fliehen, fast schon zum alltag.",the fact is that violence is one of women,"for women fleeing a country on their own, sexual violence is almost part of daily life.",0.0277
"wenn sie in deutschland ankommen, sind sie oft traumatisiert.","if they come to germany, they are often dream.","when they arrive in germany, they are often traumatised.",0.3156
in einer großen küche sitzen vier frauen.,in a large number of seats four women.,four women are sitting in a large kitchen.,0.1477
"jede hat ein baby dabei, das höchstens ein jahr alt ist.","everyone has a baby in this, which is the highest year","every one of them has a baby with them, the oldest of which is one year old.",0.074
eine hat ihren kleinen sohn in den arm gelegt.,a small son has been set up in the poor.,one woman holds her little son in her arms.,0.0251
er guckt mit großen augen neugierig in den raum.,he is very much more serious in the area.,"he looks around the room inquisitively, his eyes wide.",0.0285
seine mutter starrt auf die tischplatte.,his mother is still offending the table.,his mother stares at the tabletop.,0.0773
"bis sie merkt, dass sie beobachtet wird.",until it is observed.,until she realises shes being watched.,0.0487
sie lächelt kurz und küsst den kleinen.,it is a small and very short and cows.,she smiles briefly and kisses the child.,0.024
bis man mit katrin bahr spricht.,"so far, we are talking about katbahr.",until you start talking to katrin bahr.,0.033
"sie ist bereichs-geschäftsführerin von condrobs, einem träger für soziale hilfsangebote in bayern, und beschäftigt sich unter anderem mit dem thema frauen auf der flucht.","it is a car of conbs, a car for social assistance in","she is the field manager for condrobs, a provider of social assistance within bavaria. one of the issues she deals with is refugee women.",0.0174
die vier frauen in der küche sind geflüchtete.,the four women in the chamber are more well-being.,the four women in the kitchen are refugees.,0.4671
sie leben im münchner norden in einer der wenigen dezentralen unterkünfte für alleingeflüchtete frauen und ihre kinder in bayern.,they live in the north in one of the few decentral,"they live in the north of munich, in one of the few decentralised accommodation centres in bavaria for refugee women and their children who have made the journey alone.",0.1366
im januar hat condrobs die einrichtung zusammen mit pro familia und der münchner frauenhilfe aufgemacht.,"in january, conbs has set up the establishment of ce","condrobs opened the centre in january, in collaboration with pro familia and the munich womens help organisation.",0.0245
unlängst wurde sie offiziell eröffnet.,it has been officially opened.,it recently had its official opening.,0.044
60 personen leben dort - etwa 40 frauen und 20 kinder.,60 people live there - about 40 women and 20 childre,60 people live there - around 40 women and 20 children.,0.5877
männer gibt es keine - auch nicht als besucher.,there is no - not as a visitors.,there are no men - not even male visitors.,0.0652
die ausnahme ist ein wachmann vor der tür.,the exception is a growing one before the door.,the exception is a bodyguard on the door.,0.3549
"es ist nicht übertrieben zu sagen: jede frau, die hier ankommt, hat auf ihrer flucht erfahrungen mit sexueller gewalt gemacht, sagt bahr.","it is not excessive to say: every woman who has done so,","im not exaggerating when i say that every woman who arrives here has dealt with sexual violence on her way to find refuge, said bahr.",0.0339
"männer fliehen wegen kriegen, weil sie politisch verfolgt werden, weil ihnen folter oder der tod drohen oder weil ihre familien sie als hoffnungsträger nach europa schicken, erzählt sie.","men are killed because they are persecuted politically, because they are thre","men flee because of war, because they are politically persecuted, because they are threatened with torture or death, or because their families pin their hopes on them and send them to europe, she explains.",0.0236
"bei frauen überwiegen andere gründe für die flucht: viele stehlen sich heimlich davon, weil sie keinen anderen ausweg sehen.","in women, there are many reasons for the birth: many","when women flee, other reasons are in the foreground: many women sneak away secretly, because they see no other way out.",0.0105
"in ihrer heimat haben sie erfahrung mit sexueller gewalt, zwangsehen, ehrenmorden, sklaverei oder zwangsprostitution gemacht.","in your home, you have experienced experience","in their home countries, they experienced sexual violence, forced marriage, honour killings, slavery or forced prostitution.",0.0109
auf der flucht geht das weiter.,this is what is happening.,and it continues even while theyre on the run.,0
"dass schlepper zum beispiel für eine flasche wasser eine sexuelle handlung fordern, ist keine seltenheit, sagt bahr.",the fact that the traffickers of traffickers are asking for a third of water,"it is not a rare occurrence that traffickers request a sexual act in exchange for a bottle of water, for example, says bahr.",0.02
"und die frauen sind alleine, sie werden nicht von ihren familien geschützt.","and women are alone, they are not protected by their families","and the woman are alone, unprotected by their families.",0.0596
"wer glaube, dass das ende, sobald sie in deutschland ankämen, irre, erzählt bahr.",anyone who believe that the end when you came to germany,"if you think that this stops as soon as they arrive in germany, youd be wrong, says bahr.",0.0119
auch hier würden alleinstehende frauen in flüchtlingsunterkünften oft als minderwertig betrachtet und schlimmstenfalls missbraucht.,"here too, women in refugee meetings would often be","even in germany, lone women are often seen as inferior in refugee accommodation, and, in the worst cases, they are abused.",0.0159
"das führt dazu, dass etwa 90 prozent der frauen, die in der unterkunft im münchner norden wohnen, traumatisiert sind, schätzt sie.",this leads to the fact that approximately 90% of women who,"as a result, around 90 percent of the women living in accommodation in the north of munich are traumatised, she estimates.",0.01
einige der kinder sind sicher nicht freiwillig entstanden.,some of children are certainly not voluntary.,some of the children were certainly not conceived with the womans consent.,0.0511
"viele frauen seien es so gewohnt, dass sie nichts sagen.",many women are so denied that they do not,"many women are so used to it that they do not say anything, she says.",0.3065
"oder sie trauen sich nicht, offen über das erlebte zu sprechen, weil die scham zu groß ist.",or you did not speak openly about the experien,or they cant bring themselves to talk about what they experienced because they are too ashamed.,0.0131
"da sie sich oft nicht zu helfen wüssten, brauche es mehr unterkünfte nur für sie, fordert bahr.","since they often do not know to help, it is","because they often dont know how to get help, there needs to be more accommodation just for them, says bahr.",0.0206
in bayern sind die sieben bezirksregierungen für die unterbringung von flüchtlingen zuständig.,"in bavaria, the seven-owned governments are","in bavaria, the seven district governments are responsible for providing accommodation for refugees.",0.0791
"auf die frage, ob sie von einem ähnlichen projekt wie in münchen in ihrem zuständigkeitsbereich wüssten, antworten einige mit nein.","the question is whether you know from a similar project, as in munich","when asked if they knew of projects like the one in munich operating within the areas they covered, some answered with no.",0.0182
in der oberpfalz und oberfranken etwa gibt es so etwas in unterkünften der regierungen nicht.,"in the upper and upperlken, there is no such thing","in upper palatinate and upper franconia regions, for example, there is no similar accommodation offered by the government.",0.058
"auch in schwaben werden allein geflüchtete frauen nicht getrennt untergebracht, sagt karl-heinz meyer, pressesprecher der regierung.",even in the event of the women are not,"even in swabia, women who come as lone refugees are not given separate accommodation, says karl-heinz meyer, press spokesperson for the region.",0.0187
"in oberbayern, unter- und mittelfranken gibt es in manchen gemeinschaftsunterkünften stockwerke oder eigene häuser nur für alleinstehende frauen und deren kinder.",in the upper-h- and central and cen,"in upper bavaria, lower franconia and middle franconia, floors, or individual houses, are set aside in some shared accommodation for lone women and their children.",0.0033
"die ausnahme ist niederbayern, dort gibt es zwei zentrale unterkünfte ausschließlich für frauen.","the exception is a dutch, there are two central housing","the exception is lower bavaria: there, there are two central accommodation centres exclusively for women.",0.2304
"auch der ausschuss rechte der frau und gleichstellung der geschlechter im europaparlament fordert, dass frauen getrennt von männern untergebracht werden müssen.",the committee on womens rights and gender equality in the,even the european parliaments committee on womens rights and gender equality stresses that women must be provided with accommodation separate from that of the men.,0.1518
"in einer studie, die für den ausschuss veröffentlicht wurde, heißt es: es ist sehr wichtig, dass männer und frauen getrennt beherbergt werden.","in a study published by the committee, it is very important that men and women are separate.","in a study published on behalf of the committee, it was stated that it is very important that men and women are given separate accommodation.",0.4367
"fehlt die privatsphäre oder werden männer und frauen zusammen untergebracht, kann es zu - fortwährender - gewalt gegen frauen kommen.","the privacy or women are being held together, it can be possible to continue violence against w","if there is a lack of private space, or if men and women are provided with accommodation together, this can result in (perpetual) violence against women.",0.0233
"vor allem die waschräume sollten getrennt und für frauen leicht zugänglich sein, steht in der studie.","in particular, the absence should be separate and accessible to women is in the study.","washing facilities, above all, should be separate, and easily accessible for women, according to the study.",0.0425
"wie sehr die frauen dieses schutzbedürfnis verspüren, kann man am andrang ablesen, den es auf das haus in münchen gibt.","as the women of this protection, it is possible to read the idea that there is a lot of time",the extent to which women need this protection can be seen in the sheer number of people interested in the house in munich.,0.013
"seit sich herumgesprochen hat, dass es uns gibt, haben wir eine lange warteliste, sagt bahr.","since then, we have been a long time ago, we have said bahr.","since word has got around that we exist, we have developed a long waiting list, says bahr.",0.0393
man könnte leicht ein zweites haus aufmachen.,one could be a second house. is a time it is a matter.,it would be easy to open a second house.,0.0874
assistenzärzte streiken: forderungen nach neuen arbeitskampfmaßnahmen,the fact that doctors are strict: demands for new working action,junior doctors strike: calls for fresh industrial action,0.0248
"stellvertreter der assistenzärzte haben ihre gewerkschaft dazu aufgerufen, neue arbeitskampfmaßnahmen bei ihren streitigkeiten bezüglich eines neuen vertrages zu genehmigen.",the assistants have called on their trade union to approve new working campaigns in their disputes on a new treaty.,representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract.,0.1705
"das junior doctors committee (jdc) der british medical association (bma) hat seinen gesamten rat gefordert, ab anfang september mehr arbeitskampfmaßnahmen zu genehmigen.",the junior doctors committee (jightened british medical association (bma) has requested its whole council to approve,the junior doctors committee (jdc) of the british medical association (bma) is to ask its full council to back more industrial action from early september.,0.1964
"der jdc sagte aus, dass es minister verabsäumt hätten, auf die sorgen bezüglich des vertrages einzugehen.",the jange said that ministers would have been allowed to address the concerns of the treaty.,the jdc says ministers have failed to address concerns about the contract.,0.0356
"assistenzärzte und medizinstudenten haben im juli über die ablehnung eines vertrages abgestimmt, der mit der bma vereinbart wurde.",the fact that doctors and medical students voted in july on the rejection of a treaty agreed with the b,junior doctors and medical students voted in july to reject a contract deal agreed with the bma.,0.3671
"er wurde von 58 % seiner mitglieder abgelehnt, die bei den wahlen abgestimmt haben.",he was rejected by 58% of his members who voted in the elections.,it was rejected by 58% of its members who voted in the ballot.,0.5784
"in einem brief an die mitglieder, der am donnerstag abend auf twitter veröffentlicht wurde, sagte die vorsitzende des jdc ellen mccourt, dass die regierung beharrlich ruhig zu problemen geblieben wäre, was dazu führte, dass der vertrag abgelehnt wurde.","in a letter to members who published on thursday evening, the chairman of the jigen, said that the","in a letter to members released on twitter on thursday night, the jdcs chair ellen mccourt said the government had remained persistently silent on issues which, she said, had resulted in the contract being rejected.",0.1007
"sie sagte:in anbetracht dessen hat der jdc vorstand abgestimmt, den vorgeschlagenen neuen vertrag vollständig abzulehnen und offizielle neuverhandlungen zu all euren sorgen angefordert.","in view of this, the j souveränität board voted in favour of complete rejecting the proposed new treaty and requested official new","she said: in light of this, the jdc executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns.",0.0585
"als antwort auf das schweigen der regierung hat der jdc vorstand heute einen formalen antrag auf ein spezielles treffen des bma rates gestellt, um ein laufendes programm eskalierender arbeitskampfmaßnahmen, das anfang september beginnt, zu genehmigen.","as a response to the silence of the government, the j souveränität board has today issued a","in response to the governments silence, jdc exec has today made a formal request for a special meeting of bma council to authorise a rolling programme of escalated industrial action beginning in early september.",0.0296
"die streitigkeiten führten dazu, dass assistenzärzte dieses jahr sechsmal streikten, die ersten gesamtausfälle in der geschichte des nhs.","the disputes led to the fact that assistants of this year six times stringent offences, the first","the dispute has led to junior doctors taking part in six strikes this year, including the first all-out stoppages in the history of the nhs.",0.0263
